"Kreis","Typ","Bundesland","Einwohner","Tote","Infizierte","Fälle.pro.100.000","Neuinfektionen.pro.100.000","Neuinfektionen","Tote.in.7.Tagen","hc.key","lat","lon"
"Siegen-Wittgenstein","Kreis","Nordrhein-Westfalen","275491",221,18632,6763.2,191.3,527,0,"de-nw-05970000","50.9377386445","8.19517026923"
"Soest","Kreis","Nordrhein-Westfalen","301016",229,15187,5045.2,320.6,965,1,"de-nw-05974000","51.5644104976","8.21743743758"
"Unna","Kreis","Nordrhein-Westfalen","393618",530,26736,6792.4,236,929,1,"de-nw-05978000","51.5785745363","7.63644458507"
"Darmstadt","Kreisfreie Stadt","Hessen","159174",166,10030,6301.3,252.6,402,0,"de-he-06411000","49.88144614","8.66468155462"
"Frankfurt am Main","Kreisfreie Stadt","Hessen","764104",949,65840,8616.6,247.7,1893,1,"de-he-06412000","50.117968104","8.64419039448"
"Offenbach am Main","Kreisfreie Stadt","Hessen","130892",219,15082,11522.5,366,479,1,"de-he-06413000","50.091078767","8.78096226536"
"Wiesbaden","Kreisfreie Stadt","Hessen","278609",314,20783,7459.6,280.7,782,1,"de-he-06414000","50.0791566662","8.26036646911"
"Bergstraße","Landkreis","Hessen","271015",377,19256,7105.1,309.6,839,0,"de-he-06431000","49.6177012221","8.66011611597"
"Darmstadt-Dieburg","Landkreis","Hessen","297701",344,18266,6135.7,222.7,663,0,"de-he-06432000","49.8555038512","8.79546987935"
"Groß-Gerau","Landkreis","Hessen","275807",329,22049,7994.4,203.8,562,1,"de-he-06433000","49.9045086093","8.47025247743"
"Hochtaunuskreis","Landkreis","Hessen","237281",240,13417,5654.5,143.7,341,1,"de-he-06434000","50.2816152547","8.50464605826"
"Main-Kinzig-Kreis","Landkreis","Hessen","421689",709,35323,8376.6,219.8,927,1,"de-he-06435000","50.2438645181","9.28622299151"
"Main-Taunus-Kreis","Landkreis","Hessen","239264",252,14787,6180.2,161.3,386,0,"de-he-06436000","50.1025789147","8.43457121479"
"Odenwaldkreis","Landkreis","Hessen","96754",193,7705,7963.5,272.9,264,0,"de-he-06437000","49.6715861652","8.97952523934"
"Offenbach","Landkreis","Hessen","356542",622,29269,8209.1,224.9,802,0,"de-he-06438000","50.0216774635","8.81143914637"
"Rheingau-Taunus-Kreis","Landkreis","Hessen","187433",196,10958,5846.4,248.6,466,0,"de-he-06439000","50.1419717211","8.08113471294"
"Wetteraukreis","Landkreis","Hessen","310353",565,21215,6835.8,199.1,618,3,"de-he-06440000","50.3547764783","8.90765705912"
"Gießen","Landkreis","Hessen","271667",382,19324,7113.1,169.3,460,0,"de-he-06531000","50.5702779049","8.80751371735"
"Lahn-Dill-Kreis","Landkreis","Hessen","253373",253,17472,6895.8,179.6,455,0,"de-he-06532000","50.6482687297","8.36532824"
"Limburg-Weilburg","Landkreis","Hessen","172291",296,13052,7575.6,180.5,311,0,"de-he-06533000","50.4274703547","8.19943723806"
"Marburg-Biedenkopf","Landkreis","Hessen","245903",306,15288,6217.1,125.7,309,0,"de-he-06534000","50.8368638341","8.73804376785"
"Vogelsbergkreis","Landkreis","Hessen","105506",118,5851,5545.7,135.5,143,0,"de-he-06535000","50.6381193653","9.27137950882"
"Kassel","Kreisfreie Stadt","Hessen","201048",209,13161,6546.2,269.6,542,0,"de-he-06611000","51.3114548137","9.46020305009"
"Fulda","Landkreis","Hessen","223023",314,20875,9360,336.7,751,0,"de-he-06631000","50.5638809858","9.75913916517"
"Hersfeld-Rotenburg","Landkreis","Hessen","120304",197,8247,6855.1,199.5,240,0,"de-he-06632000","50.90618961","9.7529324059"
"Kassel","Landkreis","Hessen","237007",234,12413,5237.4,199.2,472,0,"de-he-06633000","51.4012961379","9.4070389164"
"Schwalm-Eder-Kreis","Landkreis","Hessen","179840",261,9639,5359.8,145.1,261,0,"de-he-06634000","51.0237758195","9.3736523386"
"Waldeck-Frankenberg","Landkreis","Hessen","156528",162,9482,6057.7,238.3,373,0,"de-he-06635000","51.1906875733","8.88888422026"
"Werra-Meißner-Kreis","Landkreis","Hessen","100046",177,5686,5683.4,184.9,185,0,"de-he-06636000","51.190756376","9.92890620729"
