land,country,name,id,nuts,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-04,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25
Norwegen,Norway,Troms Og Finnmark,NO,NO074,keine Daten,keine Daten,17,13,8,7,2,0,0,0,0,0,0,1,2,1,0,14,17,11,8,2,3,4,3,3,6,24,35,38,54,83,85,57,32,14,21,32,35,33,61,70,25,7,6,4,5,30,61,49,33,25,23,19,9,10
Norwegen,Norway,Møre Og Romsdal,NO,NO0A3,keine Daten,keine Daten,1,2,2,3,4,2,3,5,3,1,3,4,2,0,0,1,2,3,5,5,5,4,5,7,23,34,26,28,46,50,37,39,39,29,34,32,41,68,81,66,40,31,24,15,10,14,18,15,19,42,59,59,48,53
Norwegen,Norway,Nordland,NO,NO071,keine Daten,keine Daten,11,4,2,1,1,2,2,0,0,2,2,1,1,1,0,0,3,6,16,15,4,8,9,5,4,5,8,18,31,60,65,42,31,19,24,25,16,31,65,54,43,50,32,26,25,51,71,61,54,37,21,21,26,24
Norwegen,Norway,Viken,NO,NO082,keine Daten,keine Daten,24,14,13,12,9,7,5,4,4,4,8,7,3,3,5,7,15,23,16,12,33,44,32,26,22,31,38,60,102,156,208,220,215,188,186,194,176,178,203,186,149,136,125,124,104,133,205,296,399,405,373,379,292,180
Norwegen,Norway,Rogaland,NO,NO0A1,keine Daten,keine Daten,3,8,8,3,1,0,0,0,1,0,1,0,1,1,2,4,6,8,7,5,9,13,22,24,17,19,18,33,55,59,64,56,34,21,22,34,89,156,197,156,79,41,11,5,9,25,41,80,156,168,132,139,151,112
Norwegen,Norway,Vestfold Og Telemark,NO,NO091,keine Daten,keine Daten,7,5,4,2,1,2,1,1,1,1,1,1,1,0,1,3,5,8,6,4,4,6,8,9,11,16,19,22,30,54,77,76,62,56,73,116,136,121,129,109,83,69,48,49,50,66,131,217,241,182,121,107,95,83
Norwegen,Norway,Agder,NO,NO092,keine Daten,keine Daten,20,16,10,4,2,1,0,1,2,1,1,1,1,1,1,1,2,9,11,9,10,7,9,19,21,22,23,20,27,50,81,76,45,28,23,24,24,22,48,50,31,45,67,70,86,129,137,105,64,37,29,48,83,143
Norwegen,Norway,Vestland,NO,NO0A2,keine Daten,keine Daten,33,15,9,6,1,1,0,0,0,1,1,1,0,1,1,5,6,6,15,20,39,74,66,43,32,32,53,86,125,182,233,186,97,49,31,36,45,39,50,52,38,39,52,58,39,28,37,46,68,82,80,102,108,85
Norwegen,Norway,Innlandet,NO,NO020,keine Daten,keine Daten,10,8,9,9,7,6,8,5,1,1,1,0,-2,-1,2,3,4,8,7,8,11,8,9,15,20,18,14,54,111,115,82,60,75,91,118,150,129,101,94,75,54,33,26,27,19,28,39,48,65,74,71,77,84,84
Polen,Poland,Malopolskie,PL,PL21,keine Daten,11,12,9,8,6,4,3,3,7,9,6,7,8,12,23,34,41,43,54,59,53,49,43,39,63,89,180,423,605,577,857,973,734,527,287,218,173,127,121,146,143,116,103,104,108,141,208,314,455,633,657,941,1011,635,445
Polen,Poland,Slaskie,PL,PL22,keine Daten,18,23,24,30,43,62,79,64,58,60,44,36,29,26,28,39,54,51,45,43,32,21,18,17,28,42,81,202,346,400,859,1156,859,572,395,477,415,226,214,233,210,158,134,136,147,179,256,376,554,834,888,1331,1434,863,622
Polen,Poland,Wielkopolskie,PL,PL41,keine Daten,19,24,18,15,9,6,12,11,5,6,6,11,15,16,14,10,18,24,21,24,25,22,20,22,40,57,110,255,457,573,928,1081,834,706,568,328,290,382,360,406,363,260,217,198,183,206,265,341,469,695,768,1166,1235,753,532
Polen,Poland,Lódzkie,PL,PL71,keine Daten,15,17,14,14,12,7,8,15,30,38,32,24,15,14,16,16,18,19,24,31,25,17,15,22,43,61,127,303,515,629,814,838,700,601,474,375,326,327,318,344,291,207,175,161,154,179,241,321,432,603,643,912,1024,722,520
Polen,Poland,Swietokrzyskie,PL,PL72,keine Daten,11,12,8,5,5,4,6,12,14,12,12,14,10,5,7,8,7,11,15,20,20,19,19,19,36,66,137,277,445,478,708,897,797,599,352,154,98,154,137,159,156,129,110,120,128,140,203,271,361,530,573,848,895,571,433
Polen,Poland,Lubelskie,PL,PL81,keine Daten,keine Daten,8,4,2,2,1,4,4,2,2,4,5,6,9,8,5,7,9,13,15,14,15,15,21,37,58,111,233,368,572,882,846,660,612,485,359,319,291,252,274,259,211,189,181,171,179,215,252,306,400,409,602,687,500,380
Polen,Poland,Podkarpackie,PL,PL82,keine Daten,8,6,4,5,2,0,0,1,1,5,8,9,11,15,16,12,17,21,23,27,25,27,26,26,42,70,146,330,512,586,864,881,576,458,315,137,105,142,125,195,191,120,118,129,159,221,322,437,548,695,667,804,792,453,295
Polen,Poland,Podlaskie,PL,PL84,keine Daten,keine Daten,21,9,4,1,1,4,6,9,14,17,19,13,5,3,5,9,5,12,19,13,13,17,20,47,81,121,213,301,427,724,802,730,647,442,559,518,262,267,314,291,249,250,246,251,283,330,389,440,487,446,540,568,412,292
Polen,Poland,Mazowiecki Regionalny,PL,PL9,keine Daten,25,20,11,11,8,7,10,12,13,15,14,11,8,8,11,13,18,20,26,29,24,22,21,23,40,56,102,249,462,535,627,594,575,587,411,406,375,283,290,321,282,220,209,218,230,286,402,543,701,888,832,1078,1112,645,431
Polen,Poland,Zachodniopomorskie,PL,PL42,keine Daten,10,11,10,10,6,3,3,2,2,3,2,1,1,2,3,4,7,11,13,11,7,8,9,14,31,49,84,180,335,407,572,745,835,828,715,604,596,617,574,652,584,404,315,265,227,239,280,320,380,511,530,760,832,559,451
Polen,Poland,Lubuskie,PL,PL43,keine Daten,keine Daten,2,1,1,0,0,2,3,2,2,2,1,1,11,18,12,12,17,16,9,9,12,9,10,22,43,77,190,390,441,587,778,752,665,544,726,688,360,326,360,322,255,229,229,250,320,425,545,670,802,741,945,959,569,414
Polen,Poland,Dolnoslaskie,PL,PL51,keine Daten,18,23,26,23,19,16,16,14,8,5,5,5,3,2,5,8,10,11,13,14,12,12,14,16,24,34,77,179,296,327,758,1092,897,676,452,275,222,228,209,235,211,176,171,156,146,180,264,372,516,732,758,1175,1293,808,596
Polen,Poland,Opolskie,PL,PL52,keine Daten,18,24,18,14,12,11,11,12,15,15,12,15,13,7,9,14,18,20,25,24,19,18,24,41,52,54,126,346,553,550,832,1065,991,878,641,735,610,269,248,263,260,205,158,148,136,148,175,240,349,516,540,844,980,660,503
Polen,Poland,Kujawsko-pomorskie,PL,PL61,keine Daten,14,10,9,5,2,1,1,1,0,2,2,2,2,2,2,3,5,8,11,14,16,14,16,17,49,90,151,289,541,742,922,863,677,689,698,620,581,573,546,616,555,412,349,324,309,326,388,476,588,764,748,927,961,613,430
Polen,Poland,Warminsko-mazurskie,PL,PL62,keine Daten,5,5,2,1,1,2,1,0,0,1,2,4,4,3,4,4,6,13,18,18,18,16,15,16,38,56,77,171,299,390,598,752,815,880,813,773,726,596,585,648,554,404,343,344,392,515,673,804,878,876,731,772,713,444,318
Polen,Poland,Pomorskie,PL,PL63,keine Daten,6,5,10,10,3,2,2,2,1,1,3,3,2,2,4,7,10,16,32,44,36,27,28,38,75,107,150,261,380,438,678,767,724,731,587,701,680,455,474,536,479,376,319,305,322,374,488,619,728,841,774,949,944,555,374
Portugal,Portugal,Regiao Autonoma Dos Acores,PT,PTG303,keine Daten,keine Daten,16,9,10,6,1,0,1,3,2,1,3,3,1,3,6,4,7,7,9,11,9,11,11,12,13,13,17,20,21,51,97,140,168,157,154,160,134,180,343,409,290,215,150,57,39,38,37,49,65,66,50,136,193,130
Portugal,Portugal,Centro,PT,PT16,keine Daten,keine Daten,94,40,31,16,8,8,7,9,9,11,12,12,11,9,8,7,6,8,9,14,20,30,41,45,49,67,124,190,291,388,467,532,522,464,436,490,469,585,1048,1435,1723,1728,1154,564,282,157,97,76,63,49,38,46,51,40
Portugal,Portugal,Alentejo,PT,PT18,keine Daten,keine Daten,19,10,10,8,5,3,3,4,6,27,42,31,22,20,24,24,16,21,27,22,21,49,76,69,50,38,113,165,171,247,298,351,397,367,396,476,501,620,1061,1370,1519,1471,989,528,245,147,111,62,54,65,56,71,85,70
Portugal,Portugal,Algarve,PT,PT15,keine Daten,keine Daten,26,8,7,5,3,3,4,6,8,34,48,29,24,29,29,25,18,19,24,29,30,34,57,83,96,92,97,114,156,222,279,297,258,207,200,207,225,391,743,995,1117,1082,787,446,236,162,100,49,50,71,82,121,128,94
Portugal,Portugal,Norte,PT,PT11,keine Daten,keine Daten,176,111,69,38,34,18,9,8,10,10,11,14,19,15,10,12,16,21,25,38,57,72,85,90,112,194,348,570,733,968,1298,1375,1190,934,758,671,559,608,922,1169,1399,1376,872,412,201,120,85,61,53,49,44,61,76,77
Portugal,Portugal,Area Metropolitana De Lisboa,PT,PT17,keine Daten,keine Daten,54,41,47,52,50,62,82,104,105,98,103,101,105,96,71,54,45,45,45,52,64,89,119,136,139,155,214,283,356,426,520,545,482,438,418,416,380,504,890,1272,1675,2142,1757,838,397,233,155,103,79,67,63,71,70,58
Portugal,Portugal,Regiao Autonoma Da Madeira,PT,PT30,keine Daten,keine Daten,13,11,0,2,2,0,0,0,0,1,1,1,2,3,2,6,7,7,7,10,13,13,14,12,17,29,37,44,52,58,85,92,79,71,72,112,157,196,262,389,479,538,656,544,364,385,617,664,330,156,123,120,126,110
Rumänien,Romania,Cluj,RO,RO113,keine Daten,keine Daten,19,17,26,27,11,3,5,7,7,10,10,8,15,27,48,55,49,58,62,51,57,78,82,110,134,179,347,505,546,692,883,890,768,678,571,508,435,381,454,437,355,289,304,311,288,365,441,466,536,630,712,717,551,335
Rumänien,Romania,Bistrita-Nasaud,RO,RO112,keine Daten,keine Daten,23,30,37,35,24,18,13,16,34,34,36,44,39,46,67,69,54,52,48,41,55,65,51,61,73,92,161,247,329,472,617,588,417,315,270,260,228,189,195,153,122,121,107,90,92,123,150,175,244,284,300,308,248,176
Rumänien,Romania,Alba,RO,RO121,keine Daten,keine Daten,24,12,17,24,18,31,37,16,7,7,10,13,16,37,62,55,40,55,64,57,68,88,90,128,170,278,509,535,554,706,776,747,608,464,378,338,266,225,238,237,213,206,245,255,267,278,292,358,404,425,442,413,327,251
Rumänien,Romania,Maramures,RO,RO114,keine Daten,keine Daten,5,4,0,0,4,5,3,3,5,9,17,15,9,15,32,48,57,82,88,68,74,99,90,94,100,122,210,303,355,431,462,393,364,289,187,203,204,202,279,308,290,323,352,349,364,355,314,279,239,186,148,120,82,56
Rumänien,Romania,Satu Mare,RO,RO115,keine Daten,keine Daten,7,5,2,0,2,2,1,0,2,4,3,2,2,1,4,8,11,27,39,32,38,48,48,72,75,74,140,187,210,382,626,623,485,376,237,172,141,129,164,207,219,203,212,207,212,235,258,277,274,260,225,188,162,117
Rumänien,Romania,Salaj,RO,RO116,keine Daten,keine Daten,8,6,9,10,15,16,8,7,7,6,5,4,2,5,21,30,32,43,49,46,54,70,71,95,120,211,390,534,672,830,779,556,398,239,153,155,113,119,204,224,224,226,191,178,181,234,314,379,393,352,307,283,244,183
Rumänien,Romania,Iasi,RO,RO213,keine Daten,keine Daten,9,15,16,10,8,24,27,19,20,29,31,18,12,15,38,55,53,75,103,112,114,108,101,138,181,240,338,384,360,430,534,596,599,529,446,424,363,273,314,282,198,173,160,139,139,166,197,239,290,324,316,259,198,144
Rumänien,Romania,Neamt,RO,RO214,keine Daten,keine Daten,43,27,37,71,65,23,11,10,10,8,8,7,9,21,45,73,43,101,144,74,92,120,107,122,182,248,302,330,330,370,380,343,289,222,182,168,153,142,190,187,169,176,160,142,131,153,199,244,262,274,275,247,218,171
Rumänien,Romania,Suceava,RO,RO215,keine Daten,keine Daten,151,156,106,88,71,29,9,30,44,47,36,24,25,31,46,50,48,64,63,54,72,103,102,95,97,120,222,269,234,268,303,296,257,210,179,190,193,177,208,248,244,226,215,176,160,157,147,137,134,125,102,108,90,53
Rumänien,Romania,Vaslui,RO,RO216,keine Daten,keine Daten,14,16,14,6,8,6,3,2,1,1,5,8,14,56,91,86,114,180,168,124,144,143,110,169,217,210,241,249,262,319,327,330,361,366,327,316,294,248,266,244,184,151,138,130,132,141,169,185,202,219,212,189,141,95
Rumänien,Romania,Braila,RO,RO221,keine Daten,keine Daten,2,2,2,-1,-2,2,5,6,21,30,44,43,34,59,156,183,128,135,124,137,157,131,100,104,105,130,190,174,158,234,349,403,433,429,429,467,385,259,260,235,136,101,87,75,73,101,141,218,307,348,333,301,261,184
Rumänien,Romania,Buzau,RO,RO222,keine Daten,keine Daten,1,1,7,15,23,20,14,15,34,51,60,53,63,90,99,91,91,124,122,94,91,73,42,46,56,77,124,155,167,268,332,311,283,240,224,206,154,109,116,98,65,61,62,64,71,81,89,109,138,169,210,209,170,128
Rumänien,Romania,Brasov,RO,RO122,keine Daten,keine Daten,34,29,31,27,20,21,23,35,53,64,81,90,105,123,155,162,140,128,113,104,112,117,110,146,162,180,296,370,364,561,823,921,824,648,569,556,441,305,335,314,274,279,265,278,300,352,423,518,597,602,576,479,348,234
Rumänien,Romania,Covasna,RO,RO123,keine Daten,keine Daten,55,27,18,22,12,4,0,-3,9,23,19,16,22,37,36,46,66,81,85,69,96,108,90,121,128,141,218,263,284,410,499,479,421,307,229,198,142,107,156,155,102,99,97,89,94,108,130,156,204,312,342,340,339,259
Rumänien,Romania,Harghita,RO,RO124,keine Daten,keine Daten,5,5,1,1,16,32,24,18,27,35,34,22,22,25,37,45,36,27,23,25,38,42,33,52,80,159,346,427,348,317,290,228,195,152,105,105,94,62,68,84,79,69,67,67,67,81,91,98,119,136,143,153,158,143
Rumänien,Romania,Mures,RO,RO125,keine Daten,keine Daten,39,34,42,35,23,11,5,4,4,6,7,8,16,20,24,27,27,39,41,35,41,38,27,48,74,140,277,373,413,529,684,677,517,375,304,269,201,153,168,151,129,131,133,122,114,110,126,157,206,267,294,304,274,209
Rumänien,Romania,Sibiu,RO,RO126,keine Daten,keine Daten,31,40,44,35,21,17,12,7,13,20,24,20,13,26,44,44,54,69,64,61,68,89,88,89,115,204,340,409,541,915,1192,1086,852,609,402,321,246,183,222,212,154,137,150,172,198,234,266,312,370,411,404,373,317,240
Rumänien,Romania,Bacau,RO,RO211,keine Daten,keine Daten,17,19,34,34,18,18,10,9,11,9,12,15,23,45,89,106,98,98,105,113,140,142,108,143,196,261,325,303,293,344,379,407,397,356,300,253,203,168,215,231,184,137,122,128,151,167,169,189,241,277,281,248,196,153
Rumänien,Romania,Botosani,RO,RO212,keine Daten,keine Daten,66,57,55,47,35,28,28,29,34,37,31,20,15,15,21,21,14,17,24,24,25,35,39,53,59,91,177,247,289,332,362,353,353,345,264,231,237,199,193,203,200,191,168,143,145,155,156,178,204,250,261,195,143,111
Rumänien,Romania,Bihor,RO,RO111,keine Daten,keine Daten,50,45,25,7,7,11,19,17,6,3,2,6,8,6,24,57,95,134,130,106,116,125,95,89,90,99,196,317,421,595,716,645,519,415,338,314,254,188,235,233,170,149,121,94,99,142,202,253,300,336,368,356,307,248
Rumänien,Romania,Timis,RO,RO424,keine Daten,keine Daten,22,18,13,3,3,4,2,1,1,1,2,5,13,40,71,77,37,93,139,79,81,89,83,106,123,167,278,425,506,692,789,646,523,463,444,466,437,365,457,491,392,359,395,421,458,551,636,666,672,618,519,413,299,221
Rumänien,Romania,Ialomita,RO,RO315,keine Daten,keine Daten,24,22,49,51,28,23,11,22,14,2,12,16,44,59,67,64,45,47,38,32,45,47,55,65,75,114,163,186,192,335,456,474,511,490,410,406,338,226,230,180,117,122,133,111,101,118,140,173,223,275,325,293,197,142
Rumänien,Romania,Prahova,RO,RO316,keine Daten,keine Daten,2,4,3,1,1,3,4,3,9,16,32,52,62,80,133,142,133,161,162,132,109,114,99,110,131,176,269,301,258,538,740,603,564,464,359,323,252,175,166,153,117,111,104,88,81,89,103,141,192,233,291,296,242,205
Rumänien,Romania,Teleorman,RO,RO317,keine Daten,keine Daten,18,7,0,3,7,9,8,4,2,2,3,4,12,19,42,45,27,31,41,36,57,79,76,123,176,210,286,293,235,307,370,348,324,303,273,305,311,253,240,207,156,137,136,139,134,140,176,206,249,297,332,313,249,183
Rumänien,Romania,Bucuresti,RO,RO321,keine Daten,keine Daten,23,23,20,15,14,16,21,24,23,28,40,37,40,63,86,95,115,138,137,120,139,162,143,185,245,326,473,527,500,636,781,875,891,923,974,851,677,567,582,531,376,297,276,273,306,335,463,605,789,930,874,735,557,386
Rumänien,Romania,Ilfov,RO,RO322,keine Daten,keine Daten,22,26,24,24,21,27,21,10,20,23,24,30,36,47,63,66,65,96,95,78,94,110,99,123,144,156,238,338,333,529,914,1018,993,918,855,889,729,571,581,486,363,308,272,253,275,349,435,551,791,1015,949,677,443,300
Rumänien,Romania,Constanta,RO,RO223,keine Daten,keine Daten,15,10,5,4,2,4,3,4,5,12,21,17,15,25,48,55,49,52,51,51,61,68,59,101,140,144,181,216,287,488,737,840,915,901,780,647,434,326,346,313,217,173,162,150,147,198,242,349,447,469,483,402,293,204
Rumänien,Romania,Galati,RO,RO224,keine Daten,keine Daten,32,27,29,31,23,11,14,13,16,29,44,64,81,114,136,122,123,126,107,83,78,71,70,117,128,154,213,201,192,241,331,405,471,534,525,547,485,346,350,315,230,195,165,134,141,179,220,249,313,395,428,382,296,224
Rumänien,Romania,Tulcea,RO,RO225,keine Daten,keine Daten,13,11,14,24,27,28,20,8,7,8,7,9,14,22,35,35,31,48,75,77,66,80,82,99,117,118,141,154,166,248,515,635,619,579,458,426,338,244,220,194,154,115,84,75,94,112,137,158,208,303,303,267,229,149
Rumänien,Romania,Vrancea,RO,RO226,keine Daten,keine Daten,38,29,55,67,40,37,36,37,50,76,83,65,68,79,128,134,122,126,86,56,48,45,43,47,52,88,114,115,142,219,294,307,311,343,286,222,189,113,105,113,94,80,66,63,77,106,130,142,163,168,177,184,164,133
Rumänien,Romania,Arges,RO,RO311,keine Daten,keine Daten,13,13,9,8,10,10,8,9,19,39,82,90,111,199,265,249,199,184,130,65,53,46,33,40,39,53,97,138,215,361,498,599,666,588,452,383,285,200,199,160,97,87,80,69,72,92,124,166,217,262,294,287,230,165
Rumänien,Romania,Calarasi,RO,RO312,keine Daten,keine Daten,4,2,5,6,5,8,9,6,13,16,15,12,13,21,24,27,28,36,49,45,44,49,48,52,59,86,135,163,181,340,461,436,485,469,382,326,237,180,186,157,108,111,102,84,83,83,110,157,222,267,255,206,159,118
Rumänien,Romania,Dâmbovita,RO,RO313,keine Daten,keine Daten,13,13,7,11,24,24,12,11,16,24,39,53,87,114,160,162,133,132,99,85,98,94,77,96,107,144,235,295,301,380,475,508,474,401,354,324,262,207,227,195,146,140,121,102,129,164,189,232,279,293,265,207,144,102
Rumänien,Romania,Giurgiu,RO,RO314,keine Daten,keine Daten,28,20,15,30,22,3,6,8,9,9,8,8,9,19,38,40,33,50,58,51,73,84,63,73,87,97,140,150,161,267,336,465,464,424,449,408,346,213,235,207,141,133,85,74,91,143,234,291,327,363,344,290,210,133
Rumänien,Romania,Olt,RO,RO414,keine Daten,keine Daten,1,6,8,3,1,6,10,10,10,13,26,35,41,58,76,70,63,77,76,56,51,72,76,63,72,114,218,264,252,394,493,466,429,330,256,252,216,160,174,163,120,100,98,109,98,108,138,159,183,202,216,202,167,134
Rumänien,Romania,Dolj,RO,RO411,keine Daten,keine Daten,5,7,10,8,6,9,10,6,4,4,7,12,15,21,41,58,54,87,90,58,74,84,81,92,102,147,268,331,379,455,452,391,377,316,237,231,179,169,209,194,149,131,136,149,172,205,235,266,305,327,311,261,189,139
Rumänien,Romania,Gorj,RO,RO412,keine Daten,keine Daten,6,11,14,12,8,13,17,11,9,14,19,31,63,89,94,107,140,138,104,70,65,65,52,70,80,108,142,150,180,219,233,207,174,153,119,103,86,68,90,110,103,114,143,161,177,214,261,275,263,225,166,115,78,52
Rumänien,Romania,Mehedinti,RO,RO413,keine Daten,keine Daten,14,15,11,10,10,10,8,12,18,18,14,17,39,58,173,190,87,83,77,57,55,55,52,63,49,80,140,175,201,262,341,404,380,268,213,203,176,133,139,130,98,87,97,91,87,120,153,192,239,258,257,219,152,128
Rumänien,Romania,Hunedoara,RO,RO423,keine Daten,keine Daten,61,45,37,20,19,16,4,3,2,1,6,6,15,31,50,64,31,105,139,72,79,74,63,97,114,148,228,274,296,402,569,619,584,500,365,343,310,220,234,247,234,237,246,254,271,325,368,420,514,559,549,475,341,219
Rumänien,Romania,Vâlcea,RO,RO415,keine Daten,keine Daten,4,3,1,0,1,1,1,3,2,3,4,11,34,39,71,90,73,48,105,146,105,142,148,165,180,255,390,418,393,423,466,392,336,310,267,249,202,173,193,188,151,129,101,87,116,172,242,290,308,330,358,339,241,162
Rumänien,Romania,Arad,RO,RO421,keine Daten,keine Daten,63,57,49,31,17,4,0,0,2,1,0,1,5,23,63,82,77,89,95,82,95,98,79,105,111,146,273,372,431,583,757,725,579,463,371,307,227,179,203,212,185,158,145,164,201,237,258,299,363,412,432,395,339,250
Rumänien,Romania,Caras-Severin,RO,RO422,keine Daten,keine Daten,16,12,14,8,1,1,1,0,0,0,1,3,6,17,38,56,75,74,63,67,109,122,102,122,121,155,231,249,262,318,388,400,365,323,253,270,251,217,274,263,206,164,144,120,113,127,139,170,194,222,255,263,255,243
Slowakei,Slovakia,Košický kraj,SK,SK042,keine Daten,keine Daten,keine Daten,15,4,0,2,3,1,0,1,1,1,1,2,2,3,3,4,7,13,21,21,22,27,51,97,171,253,354,396,358,330,263,242,297,355,523,605,607,679,625,503,542,603,594,635,658,639,563,433,304,243,231,197,146
Slowakei,Slovakia,Prešovský kraj,SK,SK041,keine Daten,keine Daten,keine Daten,8,2,1,0,0,0,0,1,1,2,3,5,6,5,7,6,8,11,11,16,23,28,74,177,330,509,724,750,630,599,505,404,402,454,598,591,540,607,499,352,316,305,324,408,489,526,551,516,401,355,340,257,186
Slowakei,Slovakia,Trnavský kraj,SK,SK021,keine Daten,keine Daten,keine Daten,9,4,0,1,1,1,0,0,0,0,1,2,1,2,4,12,18,19,16,17,31,63,96,130,204,296,370,452,494,442,402,417,458,533,703,646,655,871,826,753,791,851,823,751,755,709,563,446,332,271,229,169,137
Slowakei,Slovakia,Trenciansky kraj,SK,SK022,keine Daten,keine Daten,keine Daten,11,3,3,3,1,0,0,0,0,2,6,7,6,12,16,20,24,23,21,17,22,42,70,114,213,338,530,648,700,695,572,568,664,780,1002,980,865,861,652,471,452,479,550,648,746,770,726,649,479,365,303,248,212
Slowakei,Slovakia,Nitriansky kraj,SK,SK023,keine Daten,keine Daten,keine Daten,7,4,3,2,1,1,0,0,0,0,1,1,5,6,2,2,3,4,10,25,38,35,69,126,159,198,282,359,355,344,328,308,359,471,656,642,740,964,901,658,465,434,364,329,322,303,274,210,161,138,115,100,89
Slowakei,Slovakia,Bratislavský kraj,SK,SK010,keine Daten,keine Daten,keine Daten,10,4,2,1,1,0,0,1,1,3,5,6,9,12,15,18,26,47,53,72,83,81,117,149,172,228,301,351,337,257,215,234,345,476,668,693,726,890,755,625,614,639,609,537,520,466,379,305,224,186,172,120,97
Slowakei,Slovakia,Banskobystrický kraj,SK,SK032,keine Daten,keine Daten,keine Daten,5,2,1,1,0,0,0,1,4,3,2,4,4,4,4,2,2,3,4,7,14,22,33,75,143,225,348,414,402,370,271,247,365,465,614,600,543,577,433,333,339,405,490,541,590,535,443,404,311,234,216,173,132
Slowakei,Slovakia,Žilinský kraj,SK,SK031,keine Daten,keine Daten,keine Daten,12,3,1,0,0,0,0,0,2,7,11,9,4,3,3,4,5,8,13,23,36,60,122,209,363,681,936,982,866,645,444,344,359,402,603,685,641,678,532,349,332,350,377,460,564,668,695,644,513,428,417,329,236
Slowenien,Slovenia,Primorsko-notranjska,SI,SI038,keine Daten,keine Daten,keine Daten,0,0,0,0,0,0,0,2,9,15,38,44,21,26,30,17,9,11,15,11,76,170,132,42,87,246,515,600,513,674,719,903,1204,984,770,869,829,869,901,797,795,770,755,672,532,481,439,416,553,600,770,874,695
Slowenien,Slovenia,Osrednjeslovenska,SI,SI041,keine Daten,keine Daten,keine Daten,5,3,1,1,1,1,1,1,2,7,10,9,7,10,10,9,21,29,25,28,56,80,106,124,215,524,1008,1144,944,862,719,702,775,775,626,646,842,924,922,757,730,661,572,574,528,509,482,494,598,659,667,574,460
Slowenien,Slovenia,Jugovzhodna Slovenija,SI,SI037,keine Daten,keine Daten,keine Daten,14,6,3,2,1,1,0,0,1,4,3,5,8,6,6,7,19,37,29,23,30,24,27,51,152,504,901,835,711,868,903,1064,1288,1297,1364,1539,1624,1561,1294,1031,979,795,634,559,413,392,425,434,537,635,679,627,554
Slowenien,Slovenia,Goriška,SI,SI043,keine Daten,keine Daten,keine Daten,1,1,0,1,1,0,0,3,3,3,21,25,12,8,4,3,8,10,7,3,15,22,31,48,95,249,497,591,591,676,655,617,714,682,574,620,815,1234,1301,1147,1064,763,557,445,414,485,568,641,809,900,697,495,441
Slowenien,Slovenia,Obalno-kraška,SI,SI044,keine Daten,keine Daten,keine Daten,2,0,0,0,0,0,0,3,6,16,16,10,9,3,2,3,9,15,13,9,11,15,24,37,47,135,409,468,362,446,452,564,771,689,628,779,812,893,895,864,914,751,719,821,839,821,682,649,722,664,535,376,279
Slowenien,Slovenia,Posavska,SI,SI036,keine Daten,keine Daten,keine Daten,1,0,0,0,0,1,1,1,3,3,3,5,9,9,4,0,3,15,32,40,26,13,30,54,149,492,786,632,492,599,681,1046,1513,1188,1269,1911,2048,2110,1728,1224,1125,897,605,409,247,215,244,268,306,356,471,541,520
Slowenien,Slovenia,Gorenjska,SI,SI042,keine Daten,keine Daten,keine Daten,4,4,1,1,0,0,3,5,2,4,4,5,10,13,11,7,11,13,10,18,39,48,83,132,248,783,1699,1859,1374,1211,1003,844,842,737,685,732,812,946,941,809,846,722,564,611,589,593,583,533,539,544,594,577,479
Slowenien,Slovenia,Pomurska,SI,SI031,keine Daten,keine Daten,keine Daten,33,31,18,2,0,0,0,0,1,2,5,17,21,11,3,1,4,17,25,27,40,39,47,88,129,341,910,1144,1325,1627,1528,1526,1492,1293,1247,1264,1302,1436,1241,942,889,736,601,593,501,416,427,453,439,418,497,495,397
Slowenien,Slovenia,Podravska,SI,SI032,keine Daten,keine Daten,keine Daten,4,4,2,0,0,0,1,1,0,3,10,9,3,2,1,2,8,10,11,24,64,79,81,101,130,280,610,796,828,995,1096,1156,1253,1113,977,1037,1010,1033,960,786,763,661,539,480,426,437,462,491,555,600,632,548,452
Slowenien,Slovenia,Koroška,SI,SI033,keine Daten,keine Daten,keine Daten,6,3,4,1,0,0,0,0,0,7,34,38,14,7,7,7,16,21,23,24,42,64,188,252,245,574,1044,1125,999,1102,1347,1522,1425,1135,957,1077,1306,1511,1231,676,618,626,553,499,458,588,635,690,728,652,636,534,447
Slowenien,Slovenia,Savinjska,SI,SI034,keine Daten,keine Daten,keine Daten,15,4,3,2,0,0,0,0,1,3,3,7,12,16,17,15,21,29,31,33,70,85,95,114,156,378,910,1067,877,941,1015,1214,1268,1191,1090,1056,1164,1318,1213,883,771,581,477,484,484,513,503,555,688,766,842,765,584
