land,country,name,id,nuts,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-04,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25
Bulgarien,Bulgaria,Chaskowo,BG,BG422,1,4,5,10,13,5,0,0,1,1,4,4,1,keine Daten,5,4,8,19,13,18,28,23,24,22,13,12,14,35,57,93,151,213,308,376,416,424,404,370,241,147,160,144,105,129,157,190,232,282,340,406,512,541,507,464,364,249
Bulgarien,Bulgaria,Pasardschik,BG,BG423,keine Daten,3,0,4,18,14,9,22,21,12,16,19,34,keine Daten,74,43,35,55,36,39,32,36,38,30,22,36,42,44,70,123,175,255,391,471,449,438,415,309,197,139,121,102,108,137,164,200,205,217,302,349,386,426,449,425,355,290
Bulgarien,Bulgaria,Smoljan,BG,BG424,-156,20,18,7,5,5,4,5,1,2,43,61,184,keine Daten,274,37,54,150,67,80,68,59,58,42,29,49,55,69,112,145,181,259,285,229,242,289,283,220,154,122,100,67,54,66,57,70,99,173,275,429,619,734,673,502,393,304
Bulgarien,Bulgaria,Kardschali,BG,BG425,keine Daten,keine Daten,3,0,0,1,1,0,0,2,15,18,13,keine Daten,28,27,19,24,16,13,16,15,30,49,30,16,54,90,114,218,267,219,169,126,105,122,157,143,102,84,109,103,76,88,92,71,63,82,121,175,250,310,393,417,336,253
Kroatien,Croatia,Viroviticko-podravska županija,HR,HR022,keine Daten,keine Daten,keine Daten,7,3,3,0,0,0,0,0,0,3,4,13,17,12,11,5,8,24,48,71,115,111,86,95,160,309,447,503,527,523,648,963,972,910,931,655,421,393,330,224,169,113,60,71,90,97,87,68,75,95,130,160,189
Kroatien,Croatia,Požeško-slavonska županija,HR,HR023,keine Daten,keine Daten,keine Daten,0,0,3,7,4,0,0,0,0,15,95,103,25,10,7,6,24,52,121,160,163,179,188,145,122,167,255,277,324,410,552,728,779,847,806,542,307,239,203,146,103,75,40,46,64,67,88,131,154,237,306,379,480
Kroatien,Croatia,Brodsko-posavska županija,HR,HR024,keine Daten,keine Daten,keine Daten,3,0,7,12,8,4,1,0,1,6,27,55,46,19,14,22,46,105,125,100,102,101,63,30,45,111,308,612,858,889,961,1099,1081,1119,981,626,463,421,335,264,220,180,143,158,209,209,179,203,264,357,448,584,750
Kroatien,Croatia,Osjecko-baranjska županija,HR,HR025,keine Daten,keine Daten,keine Daten,7,6,5,2,1,1,0,0,10,58,78,68,53,31,29,25,34,48,42,33,40,42,38,54,110,257,507,671,726,754,967,1127,1060,1125,1086,764,430,296,245,168,120,93,83,80,91,124,119,104,169,262,323,419,516
Kroatien,Croatia,Vukovarsko-srijemska županija,HR,HR026,keine Daten,keine Daten,keine Daten,3,1,0,0,1,1,0,0,1,9,29,57,102,158,142,89,69,52,47,50,59,52,71,139,196,258,399,540,700,760,752,870,889,874,761,451,255,205,175,140,105,110,113,110,114,120,129,141,219,376,424,460,611
Kroatien,Croatia,Karlovacka županija,HR,HR027,keine Daten,keine Daten,keine Daten,2,1,0,1,1,0,0,0,0,9,17,34,28,12,14,12,30,51,35,32,46,81,105,92,137,258,454,532,534,580,702,1114,1274,1178,1110,834,516,371,301,190,156,137,133,152,171,240,294,407,629,810,743,696,744
