typ,einwohner,bundesland,Kreis,hc.key,lat,lon,weekly_cases,inzidenz.x,weekly_cases_A00-A04,inzidenz_A00-A04,weekly_cases_A05-A14,inzidenz_A05-A14,weekly_cases_A15-A34,inzidenz_A15-A34,weekly_cases_A35-A59,inzidenz_A35-A59,weekly_cases_A60-A79,inzidenz_A60-A79,weekly_cases_A80+,inzidenz_A80+
Landkreis,201282,Baden-Württemberg,Biberach,de-bw-08426000,48.10758263,9.774254366,1592,787.639060568603,20,183.183733284484,121,599.187877587402,480,1002.65285233848,669,943.382923217937,228,575.118555140753,73,621.911739649003
Landkreis,217470,Baden-Württemberg,Bodenseekreis,de-bw-08435000,47.73346029,9.400770014,1571,720.969614641512,23,223.127667830811,116,591.836734693878,604,1248.34656084656,575,767.21906439303,211,429.989199323429,42,277.026581360069
Landkreis,285424,Baden-Württemberg,Ravensburg,de-bw-08436000,47.82504412,9.779894558,2159,755.190843966868,37,257.17661777994,155,573.967783743751,783,1128.51851318046,841,851.068136049465,290,497.580728183659,53,301.994301994302
Landkreis,130849,Baden-Württemberg,Sigmaringen,de-bw-08437000,48.0391515,9.241003503,834,637.667435431399,8,126.943827356395,77,628.828093099224,271,884.724625379518,319,702.921863293817,125,450.84036644305,34,397.057106154385
Kreisfreie Stadt,137392,Bayern,Ingolstadt,de-by-09161000,48.75509278,11.39500693,821,600.210292657281,20,272.182906913446,101,828.615965214538,253,684.783197098468,293,617.713406278329,131,516.948818120832,23,282.728948985864
Kreisfreie Stadt,1484226,Bayern,München (Stadt),de-by-09162000,48.15321316,11.54724418,9195,617.99406263397,253,319.085875720466,895,724.960511927423,3390,791.131855309218,3539,679.390602563217,923,365.363681345868,194,244.181802162393
Kreisfreie Stadt,63551,Bayern,Rosenheim (Stadt),de-by-09163000,47.84437772,12.10872475,485,762.68654369329,7,220.611408761425,55,994.75492855851,180,1068.50290870236,169,778.048892776576,60,480.576692030437,14,368.712141164077
Landkreis,111516,Bayern,Altötting,de-by-09171000,48.20980443,12.70528268,913,817.70469486091,13,233.812949640288,125,1228.98436731885,276,1118.58636621545,329,847.370318858497,138,561.066840136608,32,416.178956951489
Landkreis,105929,Bayern,Berchtesgadener Land,de-by-09172000,47.6984724,12.90186609,567,533.26060172863,13,266.94045174538,55,620.557373349882,167,689.712138107628,207,575.175748145267,88,366.681945081045,37,462.789243277048
Landkreis,127917,Bayern,Bad Tölz-Wolfratshausen,de-by-09173000,47.72747715,11.4831154,735,573.26927276698,16,249.493216903165,82,690.642634548977,208,740.503399907437,296,648.497064236263,103,376.875228686425,30,350.140056022409
Landkreis,154899,Bayern,Dachau,de-by-09174000,48.33454826,11.35711281,1284,828.406944435491,39,480.887792848335,159,1073.38148923243,340,946.468836121705,551,954.840051294493,150,506.260758041108,42,481.761871988988
