"Kreis","Typ","Bundesland","Einwohner","Tote","Infizierte","Inzidenz","Neuinfektionen","Tote.in.7.Tagen","hc.key","lat","lon","Datum"
"Vechta","Landkreis","Niedersachsen","143698","102","54419","941.557989672786","1353","0","de-ni-03460000",52.66029015,8.223057943,"29.4.2022"
"Wesermarsch","Landkreis","Niedersachsen","88524","150","21831","1214.35994758484","1075","0","de-ni-03461000",53.35764176,8.388646231,"29.4.2022"
"Wittmund","Landkreis","Niedersachsen","57384","54","15110","2403.10888052419","1379","0","de-ni-03462000",53.57341374,7.706123551,"29.4.2022"
"Bremen","Kreisfreie Stadt","Bremen","566573","575","150835","830.960882357613","4708","0","de-ni-04011000",53.11954347,8.780493747,"29.4.2022"
"Bremerhaven","Kreisfreie Stadt","Bremen","113557","174","34617","1135.99337777504","1290","0","de-hb-04012000",53.53816629,8.588505224,"29.4.2022"
"Düsseldorf","Kreisfreie Stadt","Nordrhein-Westfalen","620523","845","177394","638.815966531458","3964","1","de-nw-05111000",51.23545696,6.810202624,"29.4.2022"
"Duisburg","Kreisfreie Stadt","Nordrhein-Westfalen","495885","895","110551","364.399003801285","1807","0","de-nw-05112000",51.43961577,6.73469185,"29.4.2022"
"Essen","Kreisfreie Stadt","Nordrhein-Westfalen","582415","759","139199","602.147952920169","3507","1","de-nw-05113000",51.43383277,7.017153916,"29.4.2022"
"Krefeld","Kreisfreie Stadt","Nordrhein-Westfalen","226844","270","62177","511.805469838303","1161","2","de-nw-05114000",51.34521914,6.579668006,"29.4.2022"
"Mönchengladbach","Kreisfreie Stadt","Nordrhein-Westfalen","259665","329","63229","654.689696339514","1700","1","de-nw-05116000",51.1671936,6.411974474,"29.4.2022"
"Mülheim an der Ruhr","Kreisfreie Stadt","Nordrhein-Westfalen","170921","344","41048","593.841599335365","1015","0","de-nw-05117000",51.41378149,6.878461621,"29.4.2022"
"Oberhausen","Kreisfreie Stadt","Nordrhein-Westfalen","209566","462","48838","342.135651775574","717","1","de-nw-05119000",51.51313135,6.847120498,"29.4.2022"
"Remscheid","Kreisfreie Stadt","Nordrhein-Westfalen","111516","268","32476","625.919150615158","698","0","de-nw-05120000",51.1826933,7.224115652,"29.4.2022"
"Solingen","Kreisfreie Stadt","Nordrhein-Westfalen","159193","297","51684","658.948571859315","1049","0","de-nw-05122000",51.16245516,7.066069733,"29.4.2022"
"Wuppertal","Kreisfreie Stadt","Nordrhein-Westfalen","355004","642","106670","592.106004439387","2102","0","de-nw-05124000",51.25060361,7.168930082,"29.4.2022"
"Kleve","Kreis","Nordrhein-Westfalen","313586","343","75418","639.378033458126","2005","0","de-nw-05154000",51.65236313,6.258809085,"29.4.2022"
"Mettmann","Kreis","Nordrhein-Westfalen","484322","987","136891","535.800562435735","2595","0","de-nw-05158000",51.25710435,6.969065183,"29.4.2022"
"Rhein-Kreis Neuss","Kreis","Nordrhein-Westfalen","452001","537","117948","758.847878655136","3430","2","de-nw-05162000",51.14357124,6.649323167,"29.4.2022"
"Viersen","Kreis","Nordrhein-Westfalen","298536","376","76115","675.63040973283","2017","0","de-nw-05166000",51.28282024,6.326120513,"29.4.2022"
"Wesel","Kreis","Nordrhein-Westfalen","460113","404","116541","616.805002249447","2838","0","de-nw-05170000",51.62704254,6.618362629,"29.4.2022"
"Bonn","Kreisfreie Stadt","Nordrhein-Westfalen","330579","388","90657","559.926674108156","1851","0","de-nw-05314000",50.70573462,7.10983941,"29.4.2022"
"Köln","Kreisfreie Stadt","Nordrhein-Westfalen","1083498","1045","334913","496.170735894298","5376","0","de-nw-05315000",50.94566688,6.973218552,"29.4.2022"
"Leverkusen","Kreisfreie Stadt","Nordrhein-Westfalen","163905","173","47347","597.297214850066","979","1","de-nw-05316000",51.05306626,7.015474111,"29.4.2022"
"Städteregion Aachen","Kreis","Nordrhein-Westfalen","556631","829","155130","711.782132148587","3962","0","de-nw-05334000",50.72750461,6.216727218,"29.4.2022"
