"Kreis","Typ","Bundesland","Einwohner","Tote","Infizierte","Fälle.pro.100.000","Neuinfektionen.pro.100.000","Neuinfektionen","hc.key","lat","lon"
"Pfaffenhofen a.d. Ilm","Landkreis","Bayern","129128","171","8045","6230.3","491.8",635,"de-by-09186000","48.5962751771","11.5242827055"
"Rosenheim","Landkreis","Bayern","261721","502","22552","8616.8","619.7",1622,"de-by-09187000","47.8783797472","12.162753976"
"Starnberg","Landkreis","Bayern","136610","129","7258","5312.9","400.4",547,"de-by-09188000","48.0060469771","11.2817326717"
"Traunstein","Landkreis","Bayern","177485","233","18490","10417.8","935.3",1660,"de-by-09189000","47.8945427587","12.5795750694"
"Weilheim-Schongau","Landkreis","Bayern","136134","90","7503","5511.5","357",486,"de-by-09190000","47.7875370323","11.0483364745"
"Landshut","Kreisfreie Stadt","Bayern","73065","123","5467","7482.4","353.1",258,"de-by-09261000","48.5446699826","12.1593416454"
"Passau","Kreisfreie Stadt","Bayern","52415","120","4367","8331.6","589.5",309,"de-by-09262000","48.5820983986","13.4150504225"
"Straubing","Kreisfreie Stadt","Bayern","47612","100","3524","7401.5","516.7",246,"de-by-09263000","48.8807544792","12.5734748714"
"Deggendorf","Landkreis","Bayern","119479","166","10127","8476","900.6",1076,"de-by-09271000","48.7787021164","13.0007258015"
"Freyung-Grafenau","Landkreis","Bayern","78355","136","7028","8969.4","975",764,"de-by-09272000","48.8268581711","13.513210064"
"Kelheim","Landkreis","Bayern","123390","116","8509","6896","502.5",620,"de-by-09273000","48.8249414287","11.857554442"
"Landshut","Landkreis","Bayern","161191","177","11636","7218.8","694.2",1119,"de-by-09274000","48.5577554134","12.1953924179"
"Passau","Landkreis","Bayern","193454","388","18045","9327.8","942.3",1823,"de-by-09275000","48.5586304532","13.3666035859"
"Regen","Landkreis","Bayern","77313","173","7790","10075.9","900.2",696,"de-by-09276000","49.0228144148","13.0997637882"
"Rottal-Inn","Landkreis","Bayern","121800","205","11540","9474.5","1156",1408,"de-by-09277000","48.4245198693","12.8673504326"
"Straubing-Bogen","Landkreis","Bayern","101745","149","8331","8188.1","631",642,"de-by-09278000","48.89970504","12.5824039909"
"Dingolfing-Landau","Landkreis","Bayern","97244","117","9226","9487.5","960.5",934,"de-by-09279000","48.641164618","12.6104771899"
"Amberg","Kreisfreie Stadt","Bayern","42052","33","2544","6049.7","180.7",76,"de-by-09361000","49.4509277374","11.8453726034"
"Regensburg","Kreisfreie Stadt","Bayern","152270","112","10780","7079.5","465.6",709,"de-by-09362000","49.0130808954","12.1137308794"
"Weiden i.d. OPf.","Kreisfreie Stadt","Bayern","42535","99","3249","7638.4","329.1",140,"de-by-09363000","49.6692496128","12.1545339322"
"Amberg-Sulzbach","Landkreis","Bayern","102998","169","6142","5963.2","239.8",247,"de-by-09371000","49.4867511317","11.8009532083"
"Cham","Landkreis","Bayern","128094","195","9991","7799.7","568.3",728,"de-by-09372000","49.2370651553","12.6954795471"
"Neumarkt i.d. OPf.","Landkreis","Bayern","135225","167","9910","7328.5","754.3",1020,"de-by-09373000","49.2159614099","11.5665579197"
"Neustadt a.d. Waldnaab","Landkreis","Bayern","94645","195","6554","6924.8","408.9",387,"de-by-09374000","49.6865828841","12.0982574415"
"Regensburg","Landkreis","Bayern","194275","212","11965","6158.8","453",880,"de-by-09375000","49.0213433263","12.1211612289"
"Schwandorf","Landkreis","Bayern","148477","179","10995","7405.2","484.3",719,"de-by-09376000","49.3680333605","12.2530847621"
"Tirschenreuth","Landkreis","Bayern","71696","266","6014","8388.2","389.1",279,"de-by-09377000","49.8993890086","12.2003418405"
