"Kreis","Typ","Bundesland","Einwohner","Tote","Tote.in.7.Tagen","hc.key","totrel"
"Ludwigshafen am Rhein","Kreisfreie Stadt","Rheinland-Pfalz",172557,353,0,"de-rp-07314000",205
"Mainz","Kreisfreie Stadt","Rheinland-Pfalz",217123,231,1,"de-rp-07315000",106
"Neustadt an der Weinstraße","Kreisfreie Stadt","Rheinland-Pfalz",53306,51,0,"de-rp-07316000",96
"Pirmasens","Kreisfreie Stadt","Rheinland-Pfalz",40176,69,0,"de-rp-07317000",172
"Speyer","Kreisfreie Stadt","Rheinland-Pfalz",50741,103,0,"de-rp-07318000",203
"Worms","Kreisfreie Stadt","Rheinland-Pfalz",83459,108,0,"de-rp-07319000",129
"Zweibrücken","Kreisfreie Stadt","Rheinland-Pfalz",34001,9,0,"de-rp-07320000",26
"Alzey-Worms","Landkreis","Rheinland-Pfalz",130715,148,0,"de-rp-07331000",113
"Bad Dürkheim","Landkreis","Rheinland-Pfalz",133004,173,3,"de-rp-07332000",130
"Donnersbergkreis","Landkreis","Rheinland-Pfalz",75539,84,0,"de-rp-07333000",111
"Germersheim","Landkreis","Rheinland-Pfalz",129006,154,1,"de-rp-07334000",119
"Kaiserslautern","Landkreis","Rheinland-Pfalz",106320,94,0,"de-rp-07335000",88
"Kusel","Landkreis","Rheinland-Pfalz",70105,76,0,"de-rp-07336000",108
"Südliche Weinstraße","Landkreis","Rheinland-Pfalz",110783,134,1,"de-rp-07337000",121
"Rhein-Pfalz-Kreis","Landkreis","Rheinland-Pfalz",154754,247,0,"de-rp-07338000",160
"Mainz-Bingen","Landkreis","Rheinland-Pfalz",211525,245,0,"de-rp-07339000",116
"Südwestpfalz","Landkreis","Rheinland-Pfalz",94912,100,0,"de-rp-07340000",105
"Stuttgart","Stadtkreis","Baden-Württemberg",630305,572,2,"de-bw-08111000",91
"Böblingen","Landkreis","Baden-Württemberg",392898,357,0,"de-bw-08115000",91
"Esslingen","Landkreis","Baden-Württemberg",533617,644,2,"de-bw-08116000",121
"Göppingen","Landkreis","Baden-Württemberg",258781,313,0,"de-bw-08117000",121
"Ludwigsburg","Landkreis","Baden-Württemberg",544971,569,0,"de-bw-08118000",104
"Rems-Murr-Kreis","Landkreis","Baden-Württemberg",427286,452,1,"de-bw-08119000",106
"Heilbronn","Stadtkreis","Baden-Württemberg",126458,194,1,"de-bw-08121000",153
"Heilbronn","Landkreis","Baden-Württemberg",346363,258,1,"de-bw-08125000",74
"Hohenlohekreis","Landkreis","Baden-Württemberg",112765,146,0,"de-bw-08126000",129
"Schwäbisch Hall","Landkreis","Baden-Württemberg",197860,282,0,"de-bw-08127000",143
"Main-Tauber-Kreis","Landkreis","Baden-Württemberg",132684,123,3,"de-bw-08128000",93
"Heidenheim","Landkreis","Baden-Württemberg",132812,212,1,"de-bw-08135000",160
"Ostalbkreis","Landkreis","Baden-Württemberg",314294,474,0,"de-bw-08136000",151
"Baden-Baden","Stadtkreis","Baden-Württemberg",55449,79,0,"de-bw-08211000",142
"Karlsruhe","Stadtkreis","Baden-Württemberg",308436,261,0,"de-bw-08212000",85
"Karlsruhe","Landkreis","Baden-Württemberg",446852,551,0,"de-bw-08215000",123
"Rastatt","Landkreis","Baden-Württemberg",232091,265,1,"de-bw-08216000",114
