"region","neuinf","neuinfpro","add"
"<b>Trier</b><br>Kreisfreie Stadt<br>Rheinland-Pfalz","877","792,417369933318",""
"<b>Bernkastel-Wittlich</b><br>Landkreis<br>Rheinland-Pfalz","796","706,393929981808",""
"<b>Eifelkreis Bitburg-Prüm</b><br>Landkreis<br>Rheinland-Pfalz","445","444,755384538504",""
"<b>Vulkaneifel</b><br>Landkreis<br>Rheinland-Pfalz","755","1248,11955497512",""
"<b>Trier-Saarburg</b><br>Landkreis<br>Rheinland-Pfalz","1267","841,675911594136",""
"<b>Frankenthal (Pfalz)</b><br>Kreisfreie Stadt<br>Rheinland-Pfalz","248","508,717948717949",""
"<b>Kaiserslautern</b><br>Kreisfreie Stadt<br>Rheinland-Pfalz","1064","1067,60851678674",""
"<b>Landau in der Pfalz</b><br>Kreisfreie Stadt<br>Rheinland-Pfalz","227","486,237549534112",""
"<b>Ludwigshafen am Rhein</b><br>Kreisfreie Stadt<br>Rheinland-Pfalz","700","405,663056265466",""
"<b>Mainz</b><br>Kreisfreie Stadt<br>Rheinland-Pfalz","1715","789,874863556602",""
"<b>Neustadt an der Weinstraße</b><br>Kreisfreie Stadt<br>Rheinland-Pfalz","407","763,516302104829",""
"<b>Pirmasens</b><br>Kreisfreie Stadt<br>Rheinland-Pfalz","328","816,407805655118",""
"<b>Speyer</b><br>Kreisfreie Stadt<br>Rheinland-Pfalz","245","482,844248241067",""
"<b>Worms</b><br>Kreisfreie Stadt<br>Rheinland-Pfalz","703","842,329766711799",""
"<b>Zweibrücken</b><br>Kreisfreie Stadt<br>Rheinland-Pfalz","309","908,796800094115",""
"<b>Alzey-Worms</b><br>Landkreis<br>Rheinland-Pfalz","1251","957,043950579505",""
"<b>Bad Dürkheim</b><br>Landkreis<br>Rheinland-Pfalz","983","739,075516525819",""
"<b>Donnersbergkreis</b><br>Landkreis<br>Rheinland-Pfalz","722","955,797667430069",""
"<b>Germersheim</b><br>Landkreis<br>Rheinland-Pfalz","1293","1002,27896376913",""
"<b>Kaiserslautern</b><br>Landkreis<br>Rheinland-Pfalz","1452","1365,68848758465",""
"<b>Kusel</b><br>Landkreis<br>Rheinland-Pfalz","592","844,447614292846",""
"<b>Südliche Weinstraße</b><br>Landkreis<br>Rheinland-Pfalz","579","522,643365859383",""
"<b>Rhein-Pfalz-Kreis</b><br>Landkreis<br>Rheinland-Pfalz","709","458,146477635473",""
"<b>Mainz-Bingen</b><br>Landkreis<br>Rheinland-Pfalz","1752","828,270889965725",""
"<b>Südwestpfalz</b><br>Landkreis<br>Rheinland-Pfalz","1086","1144,2178017532",""
"<b>Stuttgart</b><br>Stadtkreis<br>Baden-Württemberg","5812","922,093272304678",""
"<b>Böblingen</b><br>Landkreis<br>Baden-Württemberg","2500","636,297461427648",""
"<b>Esslingen</b><br>Landkreis<br>Baden-Württemberg","3245","608,114059334691",""
"<b>Göppingen</b><br>Landkreis<br>Baden-Württemberg","1110","428,934118038032",""
"<b>Ludwigsburg</b><br>Landkreis<br>Baden-Württemberg","3071","563,516223799065",""
"<b>Rems-Murr-Kreis</b><br>Landkreis<br>Baden-Württemberg","4034","944,098332264572",""
"<b>Heilbronn</b><br>Stadtkreis<br>Baden-Württemberg","660","521,91241360768",""
"<b>Heilbronn</b><br>Landkreis<br>Baden-Württemberg","2490","718,898958607011",""
"<b>Hohenlohekreis</b><br>Landkreis<br>Baden-Württemberg","915","811,42198377156",""
"<b>Schwäbisch Hall</b><br>Landkreis<br>Baden-Württemberg","1389","702,011523299303",""
"<b>Main-Tauber-Kreis</b><br>Landkreis<br>Baden-Württemberg","961","724,277230110639",""
"<b>Heidenheim</b><br>Landkreis<br>Baden-Württemberg","712","536,096135891335",""
"<b>Ostalbkreis</b><br>Landkreis<br>Baden-Württemberg","2334","742,616785557472",""
"<b>Baden-Baden</b><br>Stadtkreis<br>Baden-Württemberg","332","598,748399430107",""
"<b>Karlsruhe</b><br>Stadtkreis<br>Baden-Württemberg","2292","743,103917830603",""
"<b>Karlsruhe</b><br>Landkreis<br>Baden-Württemberg","3836","858,449777554985",""
"<b>Rastatt</b><br>Landkreis<br>Baden-Württemberg","1696","730,747853212748",""
"<b>Heidelberg</b><br>Stadtkreis<br>Baden-Württemberg","1027","646,965812235024",""
"<b>Mannheim</b><br>Stadtkreis<br>Baden-Württemberg","2463","795,231837686176",""
"<b>Neckar-Odenwald-Kreis</b><br>Landkreis<br>Baden-Württemberg","1050","730,196040251187",""
"<b>Rhein-Neckar-Kreis</b><br>Landkreis<br>Baden-Württemberg","4229","771,387348080105",""
"<b>Pforzheim</b><br>Stadtkreis<br>Baden-Württemberg","779","618,175469781615",""
"<b>Calw</b><br>Landkreis<br>Baden-Württemberg","992","619,42316218022",""
"<b>Enzkreis</b><br>Landkreis<br>Baden-Württemberg","1491","746,425567703953",""
