id,bundesland,wahlkreis,partei,Stimmenanteil,number
298,SL,St. Wendel,Linke,11.3,4.00850402610376
299,SL,Homburg,Linke,12.4,4.74276083172299
1,SH,Flensburg – Schleswig,Grüne,13.1,8.03190825600177
2,SH,Nordfriesland – Dithmarschen Nord,Grüne,11,8.53114245762117
3,SH,Steinburg – Dithmarschen Süd,Grüne,9.9,8.88289596978575
4,SH,Rendsburg-Eckernförde,Grüne,12.4,8.01862624799833
5,SH,Kiel,Grüne,17.2,8.73385249194689
6,SH,Plön – Neumünster,Grüne,12.5,8.25558470259421
7,SH,Pinneberg,Grüne,11.4,8.3482844538521
8,SH,Segeberg – Stormarn-Mitte,Grüne,10.9,8.75781704508699
9,SH,Ostholstein – Stormarn-Nord,Grüne,9.8,8.44796743965708
10,SH,Herzogtum Lauenburg – Stormarn-Süd,Grüne,10.8,8.3837386504747
11,SH,Lübeck,Grüne,12.8,8.09091315511614
12,MV,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,Grüne,4.3,8.2167703662999
13,MV,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,Grüne,3.8,8.19539148639888
14,MV,Rostock – Landkreis Rostock II,Grüne,6.3,8.7640069865156
15,MV,Vorpommern-Rügen – Vorpommern-Greifswald I,Grüne,5.1,8.79415624774992
16,MV,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,Grüne,2.6,8.54900540295057
17,MV,Mecklenburgische Seenplatte II – Landkreis Rostock III,Grüne,3.2,8.49318586825393
18,HH,Hamburg-Mitte,Grüne,14.4,8.51477220724337
19,HH,Hamburg-Altona,Grüne,17.9,8.39871405367739
20,HH,Hamburg-Eimsbüttel,Grüne,17,8.44786571525037
21,HH,Hamburg-Nord,Grüne,14.4,8.91523657017387
22,HH,Hamburg-Wandsbek,Grüne,10.4,8.62026805547066
23,HH,Hamburg-Bergedorf – Harburg,Grüne,10,8.74634816264734
24,NI,Aurich – Emden,Grüne,7.4,8.89030217588879
25,NI,Unterems,Grüne,5.9,8.60627227346413
26,NI,Friesland – Wilhelmshaven – Wittmund,Grüne,7.3,8.24603389995173
27,NI,Oldenburg – Ammerland,Grüne,12.5,8.74493937101215
28,NI,Delmenhorst – Wesermarsch – Oldenburg-Land,Grüne,8,8.32879367237911
29,NI,Cuxhaven – Stade II,Grüne,6.9,8.14319422584958
30,NI,Stade I – Rotenburg II,Grüne,8.2,8.36797094088979
31,NI,Mittelems,Grüne,6,8.28285020124167
32,NI,Cloppenburg – Vechta,Grüne,5,8.29720636410639
33,NI,Diepholz – Nienburg I,Grüne,8.1,8.88749311491847
34,NI,Osterholz – Verden,Grüne,9.3,8.56747867306694
35,NI,Rotenburg I – Heidekreis,Grüne,8,8.28204485424794
36,NI,Harburg,Grüne,10.2,8.25950347655453
37,NI,Lüchow-Dannenberg – Lüneburg,Grüne,13.5,8.02985793468542
38,NI,Osnabrück-Land,Grüne,8.2,8.24322490650229
39,NI,Stadt Osnabrück,Grüne,12.1,8.29659844655544
40,NI,Nienburg II – Schaumburg,Grüne,8.1,8.50213962770067
41,NI,Stadt Hannover I,Grüne,12.2,8.03025243571028
42,NI,Stadt Hannover II,Grüne,14.9,8.02465482079424
43,NI,Hannover-Land I,Grüne,7.9,8.93117742054164
44,NI,Celle – Uelzen,Grüne,7.8,8.30325439106673
45,NI,Gifhorn – Peine,Grüne,7.2,8.9953525736928
46,NI,Hameln-Pyrmont – Holzminden,Grüne,7.2,8.42558569111861
47,NI,Hannover-Land II,Grüne,8.7,8.6054241177626
48,NI,Hildesheim,Grüne,8.8,8.88618936762214
49,NI,Salzgitter – Wolfenbüttel,Grüne,6.6,8.63066864036955
50,NI,Braunschweig,Grüne,11.8,8.25100422883406
51,NI,Helmstedt – Wolfsburg,Grüne,5.9,8.36874595237896
52,NI,Goslar – Northeim – Osterode,Grüne,6.6,8.20524476561695
53,NI,Göttingen,Grüne,11.6,8.28485480486415
54,HB,Bremen I,Grüne,12.6,8.80244964174926
55,HB,Bremen II – Bremerhaven,Grüne,9,8.0636923275888
56,BB,Prignitz – Ostprignitz-Ruppin – Havelland I,Grüne,3.6,8.55862626479939
57,BB,Uckermark – Barnim I,Grüne,4.1,8.45660335663706
58,BB,Oberhavel – Havelland II,Grüne,6.4,8.85272317985073
59,BB,Märkisch-Oderland – Barnim II,Grüne,4.7,8.1572506276425
60,BB,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,Grüne,4.5,8.26186493737623
61,BB,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,Grüne,10.1,8.95140231330879
