...1,Typ,Bundesland,Einwohner,Tote,Infizierte,Fälle pro 100.000,hc-key...8,lat,lon,bl,inf,tot,hc-key...14
Bonn,Kreisfreie Stadt,Nordrhein-Westfalen,330579,342,56422,943,de-nw-05314000,50.7057346173,7.10983940994,null,null,null,null
Köln,Kreisfreie Stadt,Nordrhein-Westfalen,1083498,975,214243,936,de-nw-05315000,50.9456668791,6.97321855167,null,null,null,null
Leverkusen,Kreisfreie Stadt,Nordrhein-Westfalen,163905,151,30118,1287,de-nw-05316000,51.0530662603,7.01547411084,null,null,null,null
Städteregion Aachen,Kreis,Nordrhein-Westfalen,556631,733,98395,772,de-nw-05334000,50.7275046127,6.21672721805,null,null,null,null
Düren,Kreis,Nordrhein-Westfalen,265140,369,46087,1135,de-nw-05358000,50.8178950546,6.44556160998,null,null,null,null
Rhein-Erft-Kreis,Kreis,Nordrhein-Westfalen,469611,500,80822,784,de-nw-05362000,50.9049330282,6.71649101914,null,null,null,null
Euskirchen,Kreis,Nordrhein-Westfalen,194359,283,31437,1132,de-nw-05366000,50.5364731669,6.6441519123,null,null,null,null
Heinsberg,Kreis,Nordrhein-Westfalen,256458,464,38228,728,de-nw-05370000,51.0493489074,6.16411292416,null,null,null,null
Oberbergischer Kreis,Kreis,Nordrhein-Westfalen,271699,374,53082,1160,de-nw-05374000,51.0127091971,7.51662881723,null,null,null,null
Rheinisch-Bergischer Kreis,Kreis,Nordrhein-Westfalen,283275,214,44931,920,de-nw-05378000,51.0230044262,7.19484653806,null,null,null,null
Rhein-Sieg-Kreis,Kreis,Nordrhein-Westfalen,600375,672,92163,884,de-nw-05382000,50.7606389137,7.23457302819,null,null,null,null
Bottrop,Kreisfreie Stadt,Nordrhein-Westfalen,117388,158,19709,666,de-nw-05512000,51.5716938262,6.9201161778,null,null,null,null
Gelsenkirchen,Kreisfreie Stadt,Nordrhein-Westfalen,259105,527,48450,761,de-nw-05513000,51.5539564213,7.07124023772,null,null,null,null
Münster,Kreisfreie Stadt,Nordrhein-Westfalen,316403,178,40632,1052,de-nw-05515000,51.954316786,7.62364679497,null,null,null,null
Borken,Kreis,Nordrhein-Westfalen,371898,355,68473,1573,de-nw-05554000,51.9613198354,6.89961561244,null,null,null,null
Coesfeld,Kreis,Nordrhein-Westfalen,220712,119,28319,1264,de-nw-05558000,51.8668510417,7.36601223345,null,null,null,null
Recklinghausen,Kreis,Nordrhein-Westfalen,613599,1169,102763,1101,de-nw-05562000,51.6724839158,7.15924893893,null,null,null,null
Steinfurt,Kreis,Nordrhein-Westfalen,448197,414,67105,1311,de-nw-05566000,52.2115366779,7.57944671253,null,null,null,null
