owiddate,Deutschland,Afghanistan,Ägypten,Algerien,Angola,Argentinien,Aserbaidschan,Australien,Bangladesch,Belarus,Belgien,Bolivien,Brasilien,Bulgarien,Chile,China,Costa Rica,Dänemark,Dominikanische Republik,Ecuador,El Salvador,Elfenbeinküste,Finnland,Frankreich,Ghana,Griechenland,Großbritannien,Guatemala,Guinea,Honduras,Indien,Indonesien,Irak,Iran,Israel,Italien,Japan,Jordanien,Kanada,Kasachstan,Kenia,Kolumbien,Libanon,Malawi,Malaysia,Marokko,Mexiko,Mosambik,Nepal,Niederlande,Nigeria,Norwegen,Österreich,Pakistan,Paraguay,Peru,Philippinen,Polen,Portugal,Ruanda,Rumänien,Russland,Saudi-Arabien,Schweden,Schweiz,Senegal,Serbien,Sierra Leone,Simbabwe,Singapur,Slowakei,Spanien,Sri Lanka,Südafrika,Sudan,Südkorea,Thailand,Togo,Tschechien,Tunesien,Türkei,Uganda,Ukraine,Ungarn,USA,Venezuela,Vereinigte Arabische Emirate,Vietnam,NA
2021-01-22,1089,,,,,251,324,,,43,1485,,194,163,326,592,431,782,,6,,,1245,1267,,912,4930,,,,145,49,,,18459,636,,270,1022,,,,,,,,221,,,574,,820,1667,,,,,930,1643,,1493,717,330,1414,,,2000,,,944,1057,1204,,,,,,,1139,,1003,,,545,2972,,9842,,
2021-01-23,1137,,,,,248,324,,,43,1523,,364,159,326,632,464,863,,20,,,1314,1305,,1062,5345,,,,145,46,,,19059,574,,270,980,,,,,,,,174,,,574,,810,1608,,,,,917,1828,,1644,717,282,1490,,,2808,,,1075,1028,1183,,,,,,,1149,,942,,,489,3221,,9195,,
2021-01-24,1140,,,,,230,324,,,43,1506,,409,157,326,673,497,960,,24,,,1383,1304,,1158,5407,,,,145,44,,,19952,567,,249,934,,,,,,,,176,,,574,,802,1537,,,,,895,1870,,1786,717,234,1567,,,3837,,,1206,1027,1161,,,,,,,1148,,922,,,481,3419,,8846,,
2021-01-25,1166,,2,,,201,324,,,43,1509,,473,147,253,713,530,881,,26,,,1451,1293,,1253,5563,,,,164,44,,,20428,627,,228,856,,,,,,,,171,,,724,,776,1380,,,,,1060,1822,,1840,717,234,1518,1022,,4544,,,1337,1026,1193,,,,,,,1125,,805,,,453,3431,,8767,,
2021-01-26,1143,,2,,,214,324,,,43,1426,,567,141,112,753,493,817,,28,,,1583,1247,,1377,5490,,,,142,81,,,20341,739,,207,816,,,,,,,,173,,,874,,751,1105,,,,,1370,1601,,1906,717,234,1469,1059,,5749,,,1468,1008,1184,,,,,,,1115,,787,,,544,3409,,8953,,
2021-01-27,1109,,2,,,223,324,,0,43,1368,,745,180,42,794,456,847,,29,,,1678,1205,,1415,5378,,,,162,107,,,20064,834,,186,741,,,,,,,,174,,659,1024,,971,857,,,,,1567,1406,,1936,717,234,1421,2409,,6530,,,1599,986,1122,,,,,,,1079,,805,,,715,3537,,8821,,
2021-01-28,1086,,2,,,198,324,,2,43,1279,,890,253,19,712,419,956,,28,,,1553,1164,,1444,5386,,,,197,135,,,19688,972,,166,673,,,,,,,,118,,659,1174,,1208,700,,,,,1701,1190,,1928,717,234,1372,2127,,6520,,,1728,1053,1125,,,,,,,1024,,989,,,997,3763,,9103,,
2021-01-29,1097,,2,,,205,324,,7,43,1174,1,963,301,16,630,382,1278,,30,,,1566,1140,,1459,5407,,,,221,150,,,19570,1141,,145,610,,,,,,,1234,53,,659,1323,,1277,753,,,,,1719,1099,,1926,717,234,1323,1924,,6403,,,1856,1185,1072,242,,,,,,1000,,1243,,,1429,3820,,9761,,
2021-01-30,1098,,2,1,,249,324,,10,43,1126,2,992,305,16,548,345,1430,,29,,,1671,1130,,1482,5655,,,,226,191,,,19312,1262,,124,574,,,,,,,1234,58,,659,1473,,1276,762,,,,,1715,1095,,1871,717,268,1274,1628,,5641,,,1853,1214,1100,868,,,,,,969,,1257,,,1834,3934,,10051,,
2021-01-31,1111,,5,44,,251,324,,12,43,1114,2,995,307,16,466,308,1587,,28,,,1522,1128,,1500,5871,,,,224,193,,,18100,1323,,124,535,,,,,,,1152,49,,659,1623,,1279,764,,,,,1766,1128,,1809,717,303,1225,1952,,4922,,,1850,1221,1128,904,,,,,,952,,1270,,,2092,4037,,12376,,
