value,name
312,Teltow (Urnenwahlbezirk 12)
313,Teltow (Urnenwahlbezirk 13)
314,Teltow (Urnenwahlbezirk 14)
315,Teltow (Urnenwahlbezirk 15)
316,Teltow (Briefwahlbezirk 9035)
317,Teltow (Briefwahlbezirk 9036)
318,Teltow (Briefwahlbezirk 9037)
319,Teltow (Briefwahlbezirk 9038)
320,Teltow (Briefwahlbezirk 9039)
321,Teltow (Briefwahlbezirk 9040)
322,Teltow (Briefwahlbezirk 9041)
323,Teltow (Briefwahlbezirk 9042)
