nachname,vorname,status,beruf,partei,parlament,bundesland
Weigert,Roland,aktiv,MdL,Freie Wähler,Landtag,Bayern
Mützenich,Rolf,aktiv,MdB,SPD,Bundestag,Nordrhein-Westfalen
Weigand,Rolf,aktiv,MdL,AfD,Landtag,Sachsen
Endres,Ronja,extern,Landesvorsitzende der SPD Bayern,SPD,Landtag,Bayern
Kemmer,Ronja,aktiv,MdB,CDU,Bundestag,Baden-Württemberg
Rupp,Ruben,aktiv,MdL,AfD,Landtag,Baden-Württemberg
Fischer,Rudi,aktiv,MdL,FDP/DVP,Landtag,Baden-Württemberg
Erben,Rüdiger,aktiv,MdL,SPD,Landtag,Sachsen-Anhalt
Lucassen,Rüdiger,aktiv,MdB,AfD,Bundestag,Nordrhein-Westfalen
Stüwe,Ruppert,aktiv,MdB,SPD,Bundestag,Berlin
Müller,Ruth,aktiv,MdL,SPD,Landtag,Bayern
