ort,index,land,lon,lat
Schleswig,2,Schleswig-Holstein,9.563227,54.5239312
Hattstedt,2,Schleswig-Holstein,9.0211873,54.5274536
Schleswig-Jagel,2,Schleswig-Holstein,9.5374252,54.4570443
Kiel-Holtenau,1,Schleswig-Holstein,10.1469848,54.3750839
Sankt Peter-Ording,2,Schleswig-Holstein,8.6522205,54.3048043
Hohwacht,1,Schleswig-Holstein,10.6618021,54.3238316
Ostenfeld (Rendsburg),1,Schleswig-Holstein,9.7819471,54.3164807
Hohn,2,Schleswig-Holstein,9.5030987,54.2988462
Erfde,2,Schleswig-Holstein,9.3176703,54.3089413
Helgoland,2,Schleswig-Holstein,7.8889438,54.1803268
Dörnick,1,Schleswig-Holstein,10.3603743,54.1634936
Pelzerhaken,1,Schleswig-Holstein,10.85015,54.0911434
Elpersbüttel,2,Schleswig-Holstein,9.0463576,54.0728326
Wacken,1,Schleswig-Holstein,7.333805,53.331778
Padenstedt,1,Schleswig-Holstein,9.9153225,54.0487059
Hasenkrug-Hardebek,1,Schleswig-Holstein,10.29747,51.75602
Itzehoe,1,Schleswig-Holstein,9.5051475,53.9317752
Wittenborn,1,Schleswig-Holstein,10.2211634,53.9216051
Lübeck-Blankensee,1,Schleswig-Holstein,10.715375,53.8076017
Quickborn,1,Schleswig-Holstein,9.9078766,53.7289353
Weiskirchen/Saar,2,Saarland,6.8189587,49.5556107
Perl-Nennig,2,Saarland,6.3809076,49.5320161
Tholey,2,Saarland,7.0323892,49.4821357
Neunkirchen-Wellesweiler,1,Saarland,7.2231112,49.3482041
Berus,2,Saarland,6.6942133,49.265602
Saarbrücken-Burbach,2,Saarland,6.9567483,49.2418787
Saarbrücken (Flughafen),1,Saarland,7.1116257,49.2164822
Bad Muskau,1,Sachsen,14.7155202,51.54926
Klitzschen bei Torgau,1,Sachsen,12.9045231,51.5199159
Hoyerswerda,1,Sachsen,14.2536419,51.4388605
Leipzig/Halle (Flughafen),1,Sachsen,12.2203805,51.4220814
Leipzig-Holzhausen,1,Sachsen,12.4780189,51.3074121
Oschatz,1,Sachsen,13.1059825,51.3006128
Görlitz,1,Sachsen,14.968707,51.1506269
Kubschütz,1,Sachsen,14.5066482,51.164981
Garsebach bei Meißen,1,Sachsen,13.4350053,51.129736
Dresden-Klotzsche (Flughafen),1,Sachsen,13.7672072,51.1321529
Geringswalde-Altgeringswalde,1,Sachsen,12.9211434,51.084563
Sohland/Spree,1,Sachsen,14.4448329,51.050822
Nossen,1,Sachsen,13.2948865,51.058317
Dresden-Strehlen,1,Sachsen,13.7678094,51.024895
Dresden-Hosterwitz,1,Sachsen,13.8605695,51.0157492
Lichtenhain-Mittelndorf,1,Sachsen,14.2060023,50.9370419
Dippoldiswalde-Reinberg,1,Sachsen,13.713976,50.9181322
Bertsdorf-Hörnitz,1,Sachsen,14.7248421,50.8820815
Chemnitz,1,Sachsen,12.9213697,50.827845
Zinnwald-Georgenfeld,1,Sachsen,13.7573077,50.7369766
Lichtentanne,1,Sachsen,12.4210908,50.694222
Marienberg,1,Sachsen,13.1622883,50.6503661
Deutschneudorf-Brüderwiese,1,Sachsen,13.482497,50.622594
Aue,1,Sachsen,12.699016,50.5873296
Treuen,1,Sachsen,12.2993698,50.5435567
Plauen,1,Sachsen,12.1368679,50.4976133
Carlsfeld,1,Sachsen,12.5878095,50.4358166
