land,country,continent,date,erste,ersterate,zweite,zweiterate,population
Lettland,Latvia,Europa,2021-01-21,     16817,0.9,2203,0.12,1866934
Litauen,Lithuania,Europa,2021-01-21,     59058,2.2,9190,0.34,2689862
Luxemburg,Luxembourg,Europa,2021-01-21,      5658,0.89,1243,0.2,634814
Mexiko,Mexico,Nordamerika,2021-01-21,    534317,0.41,18018,0.01,130262220
Nordamerika,North America,Kontinent,2021-01-21,  21544258,3.61,3788953,0.64,596581283
Norwegen,Norway,Europa,2021-01-21,     77454,1.42,2111,0.04,5465629
Polen,Poland,Europa,2021-01-21,    605313,1.6,39686,0.1,37797000
Portugal,Portugal,Europa,2021-01-21,    199322,1.96,23181,0.23,10167923
Rumänien,Romania,Europa,2021-01-21,    338253,1.77,9843,0.05,19127772
Slowakei,Slovakia,Europa,2021-01-21,     92651,1.7,2689,0.05,5460726
Slowenien,Slovenia,Europa,2021-01-21,     52610,2.53,9270,0.45,2078723
Südamerika,South America,Kontinent,2021-01-21,    502678,0.12,24724,0.01,434260137
Spanien,Spain,Europa,2021-01-21,   1054245,2.26,49056,0.1,46745211
Schweiz,Switzerland,Europa,2021-01-21,    163988,1.88,3261,0.04,8715494
Großbritannien,United Kingdom,Europa,2021-01-21,   5383103,7.89,466796,0.68,68207114
USA,United States,Nordamerika,2021-01-21,  20273764,6.11,3727102,1.12,332915074
Welt,World,Welt,2021-01-21,  41044206,0.52,5831560,0.07,7874965730
Costa Rica,Costa Rica,Nordamerika,2021-01-21,     29257,0.57,132,0,5139053
Island,Iceland,Europa,2021-01-21,      5725,1.67,480,0.14,343360
Niederlande,Netherlands,Europa,2021-01-21,     76959,0.45,1098,0.01,17173094
Oman,Oman,Asien,2021-01-21,     24773,0.47,4775,0.09,5223376
